_id,CODE_REF,CODE_STA,STA_TH,PROVINCE,AMPHOE,TAMBON,LAT,LONG,X,Y,YEAR,MONTH_EN,MONTH,DATA SOURCE,TEMP,TEMP_MIN,TEMP_MAX,HUMIDITY,WIND_SPEED,RAINFALL,RAINDAY,DEW_POINT,FEELS_LIKE,PRESSURE,CLOUDS,PM10,PM25
23,FON,,สถานีตรวจวัดสภาพอากาศปางหินฝน,เชียงใหม่,แม่แจ่ม,ปางหินฝน,18.507271,98.229169,418632.09,2046483.13,2010,Mar,มี.ค., https://openweathermap.org ,,13.30,38.10,62.86,1.62,0.00,0,,,,,,
24,FON,,สถานีตรวจวัดสภาพอากาศปางหินฝน,เชียงใหม่,แม่แจ่ม,ปางหินฝน,18.507271,98.229169,418632.09,2046483.13,2010,Aug,ส.ค., https://openweathermap.org ,,19.65,36.00,85.59,1.27,235.08,21,,,,,,
25,FON,,สถานีตรวจวัดสภาพอากาศปางหินฝน,เชียงใหม่,แม่แจ่ม,ปางหินฝน,18.507271,98.229169,418632.09,2046483.13,2011,Apr,เม.ย., https://openweathermap.org ,,16.33,37.30,73.36,1.01,22.13,3,,,,,,
26,FON,,สถานีตรวจวัดสภาพอากาศปางหินฝน,เชียงใหม่,แม่แจ่ม,ปางหินฝน,18.507271,98.229169,418632.09,2046483.13,2011,Jul,ก.ค., https://openweathermap.org ,,19.68,33.40,84.22,1.63,204.93,19,,,,,,
27,FON,,สถานีตรวจวัดสภาพอากาศปางหินฝน,เชียงใหม่,แม่แจ่ม,ปางหินฝน,18.507271,98.229169,418632.09,2046483.13,2011,Feb,ก.พ., https://openweathermap.org ,,8.58,36.60,70.19,1.10,0.00,0,,,,,,
28,FON,,สถานีตรวจวัดสภาพอากาศปางหินฝน,เชียงใหม่,แม่แจ่ม,ปางหินฝน,18.507271,98.229169,418632.09,2046483.13,2011,Sep,ก.ย., https://openweathermap.org ,,20.24,34.00,86.03,1.30,147.50,21,,,,,,
29,FON,,สถานีตรวจวัดสภาพอากาศปางหินฝน,เชียงใหม่,แม่แจ่ม,ปางหินฝน,18.507271,98.229169,418632.09,2046483.13,2011,Oct,ต.ค., https://openweathermap.org ,,17.35,35.00,83.46,1.03,91.78,12,,,,,,
30,FON,,สถานีตรวจวัดสภาพอากาศปางหินฝน,เชียงใหม่,แม่แจ่ม,ปางหินฝน,18.507271,98.229169,418632.09,2046483.13,2011,Dec,ธ.ค., https://openweathermap.org ,,10.20,33.00,78.19,1.42,3.75,1,,,,,,
31,FON,,สถานีตรวจวัดสภาพอากาศปางหินฝน,เชียงใหม่,แม่แจ่ม,ปางหินฝน,18.507271,98.229169,418632.09,2046483.13,2011,May,พ.ค., https://openweathermap.org ,,19.98,36.50,81.72,1.17,180.43,14,,,,,,
32,FON,,สถานีตรวจวัดสภาพอากาศปางหินฝน,เชียงใหม่,แม่แจ่ม,ปางหินฝน,18.507271,98.229169,418632.09,2046483.13,2011,Nov,พ.ย., https://openweathermap.org ,,13.90,33.50,80.51,1.02,7.50,1,,,,,,
